Journal Title,MEDLINE Abbreviation,ISSN (Print),ISSN (Online),Country,Categories,Start Year,NLM ID
JHEP reports : innovation in hepatology.,JHEP Rep,,2589-5559,Netherlands,Gastroenterology,2019,101761237
Canadian journal of gastroenterology & hepatology.,Can J Gastroenterol Hepatol,2291-2789,2291-2797,Egypt,Gastroenterology,2014,101623613
Cellular and molecular gastroenterology and hepatology.,Cell Mol Gastroenterol Hepatol,,2352-345X,United States,Gastroenterology,2014,101648302
BMJ open gastroenterology.,BMJ Open Gastroenterol,,2054-4774,England,Gastroenterology,2014,101660690
The lancet. Gastroenterology & hepatology.,Lancet Gastroenterol Hepatol,,2468-1253,Netherlands,Gastroenterology,2016,101690683
Hepatology communications.,Hepatol Commun,,2471-254X,United States,Gastroenterology,2016,101695860
Clinical and molecular hepatology.,Clin Mol Hepatol,2287-2728,2287-285X,Korea (South),Gastroenterology,2012,101586730
Nature reviews. Gastroenterology & hepatology.,Nat Rev Gastroenterol Hepatol,1759-5045,1759-5053,England,Gastroenterology,2009,101500079
Journal of hepato-biliary-pancreatic sciences.,J Hepatobiliary Pancreat Sci,1868-6974,1868-6982,Japan,Gastroenterology,2010,101528587
Clinical and translational gastroenterology.,Clin Transl Gastroenterol,,2155-384X,United States,Gastroenterology,2010,101532142
Clinics and research in hepatology and gastroenterology.,Clin Res Hepatol Gastroenterol,2210-7401,2210-741X,France,Gastroenterology,2011,101553659
Gut and liver.,Gut Liver,1976-2283,2005-1212,Korea (South),Gastroenterology,2007,101316452
Journal of Crohn's & colitis.,J Crohns Colitis,1873-9946,1876-4479,England,Gastroenterology,2007,101318676
Clinical journal of gastroenterology.,Clin J Gastroenterol,1865-7257,1865-7265,Japan,Gastroenterology,2008,101477246
Journal of gastrointestinal and liver diseases : JGLD.,J Gastrointestin Liver Dis,1841-8724,1842-1121,Romania,Gastroenterology,2006,101272825
Expert review of gastroenterology & hepatology.,Expert Rev Gastroenterol Hepatol,1747-4124,1747-4132,England,Gastroenterology,2007,101278199
Journal of digestive diseases.,J Dig Dis,1751-2972,1751-2980,Australia,Gastroenterology,2007,101302699
Hepatology international.,Hepatol Int,1936-0533,1936-0541,United States,Gastroenterology,2007,101304009
Revista de Gastroenterología de México.,Rev Gastroenterol Mex (Engl Ed),,2255-534X,Mexico,Gastroenterology,2005,101778603
Hepatobiliary & pancreatic diseases international : HBPD INT.,Hepatobiliary Pancreat Dis Int,1499-3872,,Singapore,Gastroenterology,2002,101151457
Annals of hepatology.,Ann Hepatol,1665-2681,,Mexico,Gastroenterology,2002,101155885
Clinical gastroenterology and hepatology : the official clinical practice journal of the American Gastroenterological Association.,Clin Gastroenterol Hepatol,1542-3565,1542-7714,United States,Gastroenterology,2003,101160775
Liver international : official journal of the International Association for the Study of the Liver.,Liver Int,1478-3223,1478-3231,United States,Gastroenterology,2003,101160857
BMC gastroenterology.,BMC Gastroenterol,,1471-230X,England,Gastroenterology,2001,100968547
Best practice & research. Clinical gastroenterology.,Best Pract Res Clin Gastroenterol,1521-6918,1532-1916,Netherlands,Gastroenterology,2001,101120605
Arab journal of gastroenterology : the official publication of the Pan-Arab Association of Gastroenterology.,Arab J Gastroenterol,1687-1979,2090-2387,Egypt,Gastroenterology,2000,101298363
Colorectal disease : the official journal of the Association of Coloproctology of Great Britain and Ireland.,Colorectal Dis,1462-8910,1463-1318,England,Gastroenterology,1999,100883611
Current gastroenterology reports.,Curr Gastroenterol Rep,1522-8037,1534-312X,United States,Gastroenterology,1999,100888896
HPB : the official journal of the International Hepato Pancreato Biliary Association.,HPB (Oxford),1365-182X,1477-2574,England,Gastroenterology,1999,100900921
Digestive and liver disease : official journal of the Italian Society of Gastroenterology and the Italian Association for the Study of the Liver.,Dig Liver Dis,1590-8658,1878-3562,Netherlands,Gastroenterology,2000,100958385
Clinics in liver disease.,Clin Liver Dis,1089-3261,1557-8224,United States,Gastroenterology,1997,9710002
World journal of gastroenterology.,World J Gastroenterol,1007-9327,2219-2840,United States,Gastroenterology,1997,100883448
Inflammatory bowel diseases.,Inflamm Bowel Dis,1078-0998,1536-4844,England,Gastroenterology,1995,9508162
The Turkish journal of gastroenterology : the official journal of Turkish Society of Gastroenterology.,Turk J Gastroenterol,1300-4948,2148-5607,Turkey,Gastroenterology,1995,9515841
Saudi journal of gastroenterology : official journal of the Saudi Gastroenterology Association.,Saudi J Gastroenterol,1319-3767,1998-4049,India,Gastroenterology,1995,9516979
Journal of gastroenterology.,J Gastroenterol,0944-1174,1435-5922,Japan,Gastroenterology,1994,9430794
Journal of viral hepatitis.,J Viral Hepat,1352-0504,1365-2893,England,Gastroenterology,1994,9435672
Zhonghua gan zang bing za zhi = Zhonghua ganzangbing zazhi = Chinese journal of hepatology.,Zhonghua Gan Zang Bing Za Zhi,1007-3418,,China,Gastroenterology,1990,9710009
European journal of gastroenterology & hepatology.,Eur J Gastroenterol Hepatol,0954-691X,1473-5687,England,Gastroenterology,1989,9000874
Revista española de enfermedades digestivas.,Rev Esp Enferm Dig,1130-0108,,Spain,Gastroenterology,1990,9007566
Digestive diseases.,Dig Dis,0257-2753,1421-9875,Switzerland,Gastroenterology,1986,8701186
Gastroenterology clinics of North America.,Gastroenterol Clin North Am,0889-8553,1558-1942,United States,Gastroenterology,1987,8706257
Diseases of the esophagus : official journal of the International Society for Diseases of the Esophagus,Dis Esophagus,1120-8694,1442-2050,United States,Gastroenterology,1988,8809160
Journal of hepatology.,J Hepatol,0168-8278,1600-0641,Netherlands,Gastroenterology,1985,8503886
Current opinion in gastroenterology.,Curr Opin Gastroenterol,0267-1379,1531-7056,United States,Gastroenterology,1985,8506887
International journal of colorectal disease.,Int J Colorectal Dis,0179-1958,1432-1262,Germany,Gastroenterology,1986,8607899
Journal of gastroenterology and hepatology.,J Gastroenterol Hepatol,0815-9319,1440-1746,Australia,Gastroenterology,1986,8607909
Pancreas.,Pancreas,0885-3177,1536-4828,United States,Gastroenterology,1986,8608542
Dysphagia.,Dysphagia,0179-051X,1432-0460,United States,Gastroenterology,1986,8610856
Seminars in liver disease.,Semin Liver Dis,0272-8087,1098-8971,United States,Gastroenterology,1981,8110297
Hepatology : official journal of the American Association for the Study of Liver Diseases.,Hepatology,0270-9139,1527-3350,United States,Gastroenterology,1981,8302946
Indian journal of gastroenterology : official journal of the Indian Society of Gastroenterology.,Indian J Gastroenterol,0254-8860,0975-0711,India,Gastroenterology,1982,8409436
Revista de gastroenterología del Perú : órgano oficial de la Sociedad de Gastroenterología del Perú.,Rev Gastroenterol Peru,1022-5129,1609-722X,Peru,Gastroenterology,1981,9108294
Digestive diseases and sciences.,Dig Dis Sci,0163-2116,1573-2568,United States,Gastroenterology,1979,7902782
Journal of clinical gastroenterology.,J Clin Gastroenterol,0192-0790,1539-2031,United States,Gastroenterology,1979,7910017
Gastroenterología y hepatología.,Gastroenterol Hepatol,0210-5705,,Spain,Gastroenterology,1978,8406671
Arquivos de gastroenterologia.,Arq Gastroenterol,0004-2803,1678-4219,Brazil,Gastroenterology,1964,15310600R
Scandinavian journal of gastroenterology.,Scand J Gastroenterol,0036-5521,1502-7708,England,Gastroenterology,1966,0060105
Digestion.,Digestion,0012-2823,1421-9867,Switzerland,Gastroenterology,1968,0150472
Zeitschrift für Gastroenterologie.,Z Gastroenterol,0044-2771,1439-7803,Germany,Gastroenterology,1963,0033370
Diseases of the colon and rectum.,Dis Colon Rectum,0012-3706,1530-0358,United States,Gastroenterology,1958,0372764
The American journal of gastroenterology.,Am J Gastroenterol,0002-9270,1572-0241,United States,Gastroenterology,1954,0421030
Gut.,Gut,0017-5749,1468-3288,England,Gastroenterology,1960,2985108R
Gastroenterology.,Gastroenterology,0016-5085,1528-0012,United States,Gastroenterology,1943,0374630
Acta gastro-enterologica Belgica.,Acta Gastroenterol Belg,1784-3227,,Belgium,Gastroenterology,1946,0414075
Nihon Shokakibyo Gakkai zasshi = The Japanese journal of gastro-enterology.,Nihon Shokakibyo Gakkai Zasshi,0446-6586,1349-7693,Japan,Gastroenterology,1902,2984683R
Journal of visceral surgery.,J Visc Surg,,1878-7886,France,Gastroenterology; General Surgery,2010,101532664
Journal of gastrointestinal surgery : official journal of the Society for Surgery of the Alimentary Tract.,J Gastrointest Surg,1091-255X,1873-4626,Netherlands,Gastroenterology; General Surgery,1997,9706084
Hernia : the journal of hernias and abdominal wall surgery.,Hernia,1265-4906,1248-9204,France,Gastroenterology; General Surgery,1997,9715168
Zhonghua wei chang wai ke za zhi = Chinese journal of gastrointestinal surgery.,Zhonghua Wei Chang Wai Ke Za Zhi,1671-0274,,China,Gastroenterology; General Surgery,1998,101177990
