Journal Title,MEDLINE Abbreviation,ISSN (Print),ISSN (Online),Country,Categories,Start Year,NLM ID
ACS infectious diseases.,ACS Infect Dis,,2373-8227,United States,Anti-Infective Agents; Drug Therapy; Microbiology,2015,101654580
"APMIS : acta pathologica, microbiologica, et immunologica Scandinavica.",APMIS,0903-4641,1600-0463,Denmark,Allergy and Immunology; Microbiology; Pathology,1988,8803400
Acta microbiologica et immunologica Hungarica.,Acta Microbiol Immunol Hung,1217-8950,1588-2640,Hungary,Allergy and Immunology; Microbiology,1994,9434021
Advances in applied microbiology.,Adv Appl Microbiol,0065-2164,,United States,Microbiology,1959,0370413
Advances in microbial physiology.,Adv Microb Physiol,0065-2911,2162-5468,England,Microbiology,1967,0117147
Anaerobe.,Anaerobe,1075-9964,1095-8274,England,Microbiology,1995,9505216
Annali di igiene : medicina preventiva e di comunità.,Ann Ig,1120-9135,3035-5559,Italy,Microbiology; Public Health,1989,9002865
Annals of clinical microbiology and antimicrobials.,Ann Clin Microbiol Antimicrob,,1476-0711,England,Anti-Infective Agents; Microbiology,1900,101152152
Annual review of microbiology.,Annu Rev Microbiol,0066-4227,1545-3251,United States,Microbiology,1947,0372370
Antonie van Leeuwenhoek.,Antonie Van Leeuwenhoek,0003-6072,1572-9699,Netherlands,Allergy and Immunology; Microbiology,1934,0372625
Applied and environmental microbiology.,Appl Environ Microbiol,0099-2240,1098-5336,United States,Microbiology,1976,7605801
Applied microbiology and biotechnology.,Appl Microbiol Biotechnol,0175-7598,1432-0614,Germany,Biotechnology; Microbiology,1984,8406612
Archives of microbiology.,Arch Microbiol,0302-8933,1432-072X,Germany,Microbiology,1974,0410427
BMC microbiology.,BMC Microbiol,,1471-2180,England,Microbiology,2001,100966981
Beneficial microbes.,Benef Microbes,1876-2883,1876-2891,Netherlands,Microbiology,2010,101507616
Bioengineered.,Bioengineered,2165-5979,2165-5987,United States,Biomedical Engineering; Biotechnology; Microbiology,2012,101581063
Brazilian journal of microbiology : [publication of the Brazilian Society for Microbiology].,Braz J Microbiol,1517-8382,1678-4405,Brazil,Microbiology,1990,101095924
Canadian journal of microbiology.,Can J Microbiol,0008-4166,1480-3275,Canada,Microbiology,1954,0372707
Cell host & microbe.,Cell Host Microbe,1931-3128,1934-6069,United States,Microbiology,2007,101302316
Clinical microbiology and infection : the official publication of the European Society of Clinical Microbiology and Infectious Diseases.,Clin Microbiol Infect,1198-743X,1469-0691,England,Communicable Diseases; Microbiology,1995,9516420
Clinical microbiology reviews.,Clin Microbiol Rev,0893-8512,1098-6618,United States,Microbiology,1988,8807282
"Comparative immunology, microbiology and infectious diseases.",Comp Immunol Microbiol Infect Dis,0147-9571,1878-1667,England,Allergy and Immunology; Communicable Diseases; Microbiology; Veterinary Medicine,1978,7808924
Critical reviews in microbiology.,Crit Rev Microbiol,1040-841X,1549-7828,England,Microbiology,1980,8914274
Current microbiology.,Curr Microbiol,0343-8651,1432-0991,United States,Microbiology,1978,7808448
Current opinion in microbiology.,Curr Opin Microbiol,1369-5274,1879-0364,England,Microbiology,1998,9815056
Current topics in microbiology and immunology.,Curr Top Microbiol Immunol,0070-217X,2196-9965,Germany,Allergy and Immunology; Microbiology,1967,0110513
Diagnostic microbiology and infectious disease.,Diagn Microbiol Infect Dis,0732-8893,1879-0070,United States,Communicable Diseases; Microbiology,1983,8305899
Enfermedades infecciosas y microbiologia clinica.,Enferm Infecc Microbiol Clin (Engl Ed),,2529-993X,Spain,Communicable Diseases; Microbiology,2017,101777541
Environmental microbiology reports.,Environ Microbiol Rep,,1758-2229,United States,Environmental Health; Microbiology,2009,101499207
Environmental microbiology.,Environ Microbiol,1462-2912,1462-2920,England,Environmental Health; Microbiology,1999,100883692
Enzyme and microbial technology.,Enzyme Microb Technol,0141-0229,1879-0909,United States,Biochemistry; Biotechnology; Microbiology,1979,8003761
"Epidemiologie, mikrobiologie, imunologie : casopis Spolecnosti pro epidemiologii a mikrobiologii Ceské lékarské spolecnosti J.E. Purkyne.",Epidemiol Mikrobiol Imunol,1210-7913,,Czech Republic,Allergy and Immunology; Epidemiology; Microbiology,1994,9431736
European journal of clinical microbiology & infectious diseases : official publication of the European Society of Clinical Microbiology.,Eur J Clin Microbiol Infect Dis,0934-9723,1435-4373,Germany,Communicable Diseases; Microbiology,1988,8804297
FEMS microbiology ecology.,FEMS Microbiol Ecol,0168-6496,1574-6941,England,Environmental Health; Microbiology,1985,8901229
FEMS microbiology letters.,FEMS Microbiol Lett,0378-1097,1574-6968,England,Microbiology,1977,7705721
FEMS microbiology reviews.,FEMS Microbiol Rev,0168-6445,1574-6976,England,Microbiology,1985,8902526
FEMS yeast research.,FEMS Yeast Res,1567-1356,1567-1364,England,Microbiology,2001,101085384
Folia microbiologica.,Folia Microbiol (Praha),0015-5632,1874-9356,United States,Microbiology,1959,0376757
Food microbiology.,Food Microbiol,0740-0020,1095-9998,England,Microbiology; Nutritional Sciences,1984,8601127
Foodborne pathogens and disease.,Foodborne Pathog Dis,1535-3141,1556-7125,United States,Microbiology; Nutritional Sciences; Parasitology,2004,101120121
Frontiers in cellular and infection microbiology.,Front Cell Infect Microbiol,,2235-2988,Switzerland,Cell Biology; Communicable Diseases; Microbiology,2011,101585359
Fungal biology.,Fungal Biol,1878-6146,,Netherlands,Microbiology,2010,101524465
Fungal genetics and biology : FG & B.,Fungal Genet Biol,1087-1845,1096-0937,United States,Genetics; Microbiology,1996,9607601
Future microbiology.,Future Microbiol,1746-0913,1746-0921,England,Microbiology,2006,101278120
Gut microbes.,Gut Microbes,1949-0976,1949-0984,United States,Gastroenterology; Microbiology,2010,101495343
Indian journal of medical microbiology.,Indian J Med Microbiol,0255-0857,1998-3646,United States,Microbiology,1983,8700903
Indian journal of pathology & microbiology.,Indian J Pathol Microbiol,0377-4929,0974-5130,India,Microbiology; Pathology,1975,7605904
International journal of food microbiology.,Int J Food Microbiol,0168-1605,1879-3460,Netherlands,Microbiology; Nutritional Sciences,1984,8412849
International journal of medical microbiology : IJMM.,Int J Med Microbiol,1438-4221,1618-0607,Germany,Microbiology,2000,100898849
International journal of medicinal mushrooms.,Int J Med Mushrooms,1521-9437,1940-4344,United States,Complementary Therapies; Microbiology,1999,100886202
International journal of systematic and evolutionary microbiology.,Int J Syst Evol Microbiol,1466-5026,1466-5034,England,Microbiology,2000,100899600
International microbiology : the official journal of the Spanish Society for Microbiology.,Int Microbiol,1139-6709,1618-1905,Switzerland,Microbiology,1998,9816585
Journal de mycologie médicale.,J Mycol Med,1156-5233,1773-0449,France,Microbiology,1991,9425651
Journal of applied microbiology.,J Appl Microbiol,1364-5072,1365-2672,England,Microbiology,1997,9706280
Journal of basic microbiology.,J Basic Microbiol,0233-111X,1521-4028,Germany,Microbiology,1985,8503885
Journal of bioscience and bioengineering.,J Biosci Bioeng,1389-1723,1347-4421,Japan,Biomedical Engineering; Microbiology,1999,100888800
Journal of clinical microbiology.,J Clin Microbiol,0095-1137,1098-660X,United States,Microbiology,1975,7505564
Journal of global antimicrobial resistance.,J Glob Antimicrob Resist,2213-7165,2213-7173,Netherlands,Anti-Infective Agents; Bacteriology; Microbiology,2013,101622459
Journal of industrial microbiology & biotechnology.,J Ind Microbiol Biotechnol,1367-5435,1476-5535,Germany,Biotechnology; Microbiology,1996,9705544
Journal of infection and chemotherapy : official journal of the Japan Society of Chemotherapy.,J Infect Chemother,1341-321X,1437-7780,Netherlands,Anti-Infective Agents; Communicable Diseases; Drug Therapy; Microbiology,1995,9608375
Journal of medical microbiology.,J Med Microbiol,0022-2615,1473-5644,England,Microbiology,1968,0224131
Journal of microbiological methods.,J Microbiol Methods,0167-7012,1872-8359,Netherlands,Microbiology,1983,8306883
Journal of microbiology and biotechnology.,J Microbiol Biotechnol,1017-7825,1738-8872,Korea (South),Biotechnology; Microbiology,1991,9431852
"Journal of microbiology, immunology, and infection = Wei mian yu gan ran za zhi.",J Microbiol Immunol Infect,1684-1182,1995-9133,England,Allergy and Immunology; Microbiology,1998,100956211
Journal of microorganism control.,J Microorg Control,2758-6383,2758-6391,Japan,Microbiology,2023,9918609780806676
Klinická mikrobiologie a infekc̆ní lékar̆ství.,Klin Mikrobiol Infekc Lek,1211-264X,,Czech Republic,Communicable Diseases; Microbiology,1995,101189112
Letters in applied microbiology.,Lett Appl Microbiol,0266-8254,1472-765X,England,Microbiology,1985,8510094
Medical microbiology and immunology.,Med Microbiol Immunol,0300-8584,1432-1831,Germany,Allergy and Immunology; Microbiology,1971,0314524
Medical mycology journal.,Med Mycol J,2185-6486,2186-165X,Japan,Microbiology,2011,101562838
Medical mycology.,Med Mycol,1369-3786,1460-2709,England,Microbiology; Veterinary Medicine,1998,9815835
Microbes and environments,Microbes Environ,1342-6311,1347-4405,Japan,Microbiology,1996,9710937
Microbial biotechnology.,Microb Biotechnol,,1751-7915,United States,Biotechnology; Microbiology,2007,101316335
